FName,LName,Wk ,Date,Opponent,W/L,GS,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,SBA,CS,HBP,SH,SF,GDP,K,AVG
Jessica,Harper,1,3/8/18,South Dakota,W,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4
Jessica,Harper,1,3/9/18,Wisconsin,W,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.387
Jessica,Harper,1,3/9/18,San Diego,W,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.385
Jessica,Harper,1,3/10/18,USC Upstate,W,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.368
Jessica,Harper,1,3/10/18,Wisconsin,W,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.361
Jessica,Harper,1,3/11/18,USC Upstate,W,1,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.373
Jessica,Harper,2,3/16/18,Utah,W,1,3,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.372
Jessica,Harper,2,3/17/18,Utah,W,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.37
Jessica,Harper,2,3/18/18,Utah,W,1,4,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0.388
Jessica,Harper,3,3/23/18,at Washington,L,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.37
Jessica,Harper,3,3/24/18,at Washington,L,1,4,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0.365
Jessica,Harper,3,3/25/18,at Washington,L,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.354
Jessica,Harper,4,3/29/18,California,W,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343
Jessica,Harper,4,3/30/18,California,W,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.34
Jessica,Harper,4,3/31/18,California,W,1,4,2,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.355
Jessica,Harper,5,4/6/18,at Oregon,L,1,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.36
Jessica,Harper,5,4/7/18,at Oregon,L,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362
Jessica,Harper,5,4/8/18,at Oregon,L,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.353
Jessica,Harper,6,4/13/18,UCLA,L,1,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.358
Jessica,Harper,6,4/14/18,UCLA,L,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346
Jessica,Harper,6,4/15/18,UCLA,L,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.338
Jessica,Harper,6,4/18/18,New Mexico State,W,1,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.343
Jessica,Harper,6,4/18/18,New Mexico State,W,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.343
Jessica,Harper,7,4/20/18,at Arizona State,L,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343
Jessica,Harper,7,4/21/18,at Arizona State,W,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
Jessica,Harper,7,4/22/18,at Arizona State,W,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338
,,,,,,,,,,,,,,,,,,,,,,,,
Joelle,Krist ,1,3/8/18,South Dakota,W,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333
Joelle,Krist ,1,3/9/18,Wisconsin,W,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.294
Joelle,Krist ,1,3/10/18,Wisconsin,W,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278
Joelle,Krist ,2,3/18/18,Utah,W,1,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.3
Joelle,Krist ,3,3/24/18,at Washington,L,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.273
Joelle,Krist ,4,3/30/18,California,W,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.273
Joelle,Krist ,4,3/31/18,California,W,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.261
Joelle,Krist ,5,4/6/18,at Oregon,L,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25
Joelle,Krist ,6,4/18/18,New Mexico State,W,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
